,P_CIPDESC
"Business Administration, Management and Operations.",1431
"Psychology, General.",1098
"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",910
"Biology, General.",904
Criminal Justice and Corrections.,858
Accounting and Related Services.,792
"Teacher Education and Professional Development, Specific Levels and Methods.",680
Communication and Media Studies.,610
"English Language and Literature, General.",577
Health and Physical Education/Fitness.,530
Political Science and Government.,511
History.,465
Sociology.,464
"Liberal Arts and Sciences, General Studies and Humanities.",460
Marketing.,456
Fine and Studio Arts.,422
Social Work.,412
"Computer and Information Sciences, General.",398
Finance and Financial Management Services.,378
"Teacher Education and Professional Development, Specific Subject Areas.",339
Economics.,337
Health and Medical Administrative Services.,324
Design and Applied Arts.,315
Mechanical Engineering.,282
"Business/Commerce, General.",261
Mathematics.,254
"Romance Languages, Literatures, and Linguistics.",232
Music.,228
Chemistry.,223
Computer/Information Technology Administration and Management.,220
"Electrical, Electronics and Communications Engineering.",218
Human Resources Management and Services.,214
Computer Science.,212
Natural Resources Conservation and Research.,208
"Allied Health Diagnostic, Intervention, and Treatment Professions.",199
Civil Engineering.,196
Communication Disorders Sciences and Services.,192
Drama/Theatre Arts and Stagecraft.,190
"Multi/Interdisciplinary Studies, Other.",186
Anthropology.,181
Special Education and Teaching.,167
Electrical Engineering Technologies/Technicians.,165
Film/Video and Photographic Arts.,159
Journalism.,155
"Public Relations, Advertising, and Applied Communication.",152
Public Health.,150
"Human Development, Family Studies, and Related Services.",146
"Health Services/Allied Health/Health Sciences, General.",143
"Biochemistry, Biophysics and Molecular Biology.",139
Chemical Engineering.,136
Management Information Systems and Services.,136
Hospitality Administration/Management.,129
Computer Software and Media Applications.,125
Computer Engineering.,117
Rhetoric and Composition/Writing Studies.,115
"Radio, Television, and Digital Communication.",113
International Relations and National Security Studies.,113
Information Science/Studies.,110
Criminology.,105
"Human Services, General.",104
Geological and Earth Sciences/Geosciences.,94
"Specialized Sales, Merchandising and  Marketing Operations.",87
Architecture.,86
Biomedical/Medical Engineering.,86
Geography and Cartography.,84
Philosophy.,84
Legal Support Services.,83
"Social Sciences, General.",79
"Linguistic, Comparative, and Related Language Studies and Services.",79
Area Studies.,78
International Business.,77
Dietetics and Clinical Nutrition Services.,75
Neurobiology and Neurosciences.,75
"Ethnic, Cultural Minority, Gender, and Group Studies.",75
Animal Sciences.,74
Management Sciences and Quantitative Methods.,73
International/Global Studies.,67
Clinical/Medical Laboratory Science/Research and Allied Professions.,66
Rehabilitation and Therapeutic Professions.,66
Business/Managerial Economics.,64
Computer Systems Networking and Telecommunications.,62
"Education, General.",62
"Health Professions and Related Clinical Sciences, Other.",60
Industrial Engineering.,59
"Visual and Performing Arts, General.",59
Health/Medical Preparatory Programs.,58
Agricultural Business and Management.,58
Physics.,58
Public Administration.,57
"Aerospace, Aeronautical and Astronautical Engineering.",54
"Foods, Nutrition, and Related Services.",54
Dental Support Services and Allied Professions.,53
"Clinical, Counseling and Applied Psychology.",53
Computer Systems Analysis.,52
"Physiology, Pathology and Related Sciences.",51
Research and Experimental Psychology.,50
Graphic Communications.,49
Computer Programming.,49
"Parks, Recreation and Leisure Facilities Management.",49
Culinary Arts and Related Services.,49
Construction Management.,48
"Family and Consumer Sciences/Human Sciences, General.",47
"Ecology, Evolution, Systematics, and Population Biology.",46
Mental and Social Health Services and Allied Professions.,45
Microbiological Sciences and Immunology.,45
Mechanical Engineering Related Technologies/Technicians.,45
"Engineering, General.",44
"Multi-/Interdisciplinary Studies, General.",42
Non-Professional General Legal Studies (Undergraduate).,42
Entrepreneurial and Small Business Operations.,41
Behavioral Sciences.,40
"Parks, Recreation and Leisure Studies.",40
Industrial Production Technologies/Technicians.,40
Bible/Biblical Studies.,39
Audiovisual Communications Technologies/Technicians.,39
Dance.,38
"Social Sciences, Other.",38
Apparel and Textiles.,38
"Business, Management, Marketing, and Related Support Services, Other.",37
Air Transportation.,37
Zoology/Animal Biology.,36
Plant Sciences.,34
Nutrition Sciences.,33
Biological and Physical Sciences.,33
Cell/Cellular Biology and Anatomical Sciences.,32
Construction Engineering Technologies.,32
"Arts, Entertainment,and Media Management.",32
Homeland Security.,31
"General Sales, Merchandising and Related Marketing Operations.",31
Religion/Religious Studies.,30
"Agriculture, General.",29
Environmental/Environmental Health Engineering.,28
Wildlife and Wildlands Science and Management.,28
Applied Mathematics.,27
"Education, Other.",26
Natural Resources Management and Policy.,26
"Engineering Technology, General.",25
Theological and Ministerial Studies.,25
"East Asian Languages, Literatures, and Linguistics.",24
Fire Protection.,23
"Communication, Journalism, and Related Programs, Other.",23
Statistics.,23
Computer Engineering Technologies/Technicians.,23
Food Science and Technology.,23
Materials Engineering,22
Pastoral Counseling and Specialized Ministries.,20
Community Organization and Advocacy.,19
Public Policy Analysis.,19
Forestry.,18
Engineering-Related Fields.,18
Family and Consumer Economics and Related Studies.,18
Urban Studies/Affairs.,18
Petroleum Engineering.,17
Insurance.,16
"Biological and Biomedical Sciences, Other.",16
Allied Health and Medical Assisting Services.,16
Agricultural Engineering.,16
Business/Corporate Communications.,16
Quality Control and Safety Technologies/Technicians.,15
"Pharmacy, Pharmaceutical Sciences, and Administration.",15
Electromechanical Instrumentation and Maintenance Technologies/Technicians.,15
Landscape Architecture.,15
"Homeland Security, Law Enforcement, Firefighting and Related Protective Services, Other.",14
Biotechnology.,14
"City/Urban, Community and Regional Planning.",13
"Legal Professions and Studies, Other.",13
Agricultural Production Operations.,12
Religious Education.,12
Cognitive Science.,12
"Psychology, Other.",11
Educational Administration and Supervision.,11
Atmospheric Sciences and Meteorology.,11
Real Estate.,11
"Engineering, Other.",11
Nuclear Engineering.,10
Genetics.,10
Architectural Engineering.,10
Natural Sciences.,9
"English Language and Literature/Letters, Other.",9
Literature.,9
"Engineering Technologies/Technicians, Other.",9
Civil Engineering Technologies/Technicians.,9
American Sign Language.,9
Systems Engineering.,8
Business Operations Support and Assistant Services.,8
"Science Technologies/Technicians, Other.",8
Environmental Design.,8
Environmental Control Technologies/Technicians.,8
"Public Administration and Social Service Professions, Other.",8
"Visual and Performing Arts, Other.",8
Architectural Sciences and Technology.,7
Interior Architecture.,7
"Science, Technology and Society.",7
Fishing and Fisheries Sciences and Management.,7
Agricultural and Domestic Animal Services.,7
Applied Horticulture and Horticultural Business Services.,7
Human Biology.,7
Marine Transportation.,6
Architectural Engineering Technologies/Technicians.,6
"Practical Nursing, Vocational Nursing and Nursing Assistants.",6
Construction Engineering.,6
Vehicle Maintenance and Repair Technologies.,6
Engineering Science.,6
"Germanic Languages, Literatures, and Linguistics.",6
Engineering Physics.,6
Mining and Mineral Engineering.,6
Gerontology.,6
Manufacturing Engineering.,6
Family and Consumer Sciences/Human Sciences Business Services.,5
Pharmacology and Toxicology.,5
"Foreign Languages, Literatures, and Linguistics, Other.",5
Naval Architecture and Marine Engineering.,5
Sociology and Anthropology.,5
"Building/Construction Finishing, Management, and Inspection.",5
Soil Sciences.,5
Intercultural/Multicultural and Diversity Studies.,4
Funeral Service and Mortuary Science.,4
"Mathematics and Statistics, Other.",4
"Parks, Recreation, Leisure, and Fitness Studies, Other.",4
Leisure and Recreational Activities.,4
Sustainability Studies.,4
Agricultural Mechanization.,4
Peace Studies and Conflict Resolution.,4
Agricultural Public Services.,4
"Theology and Religious Vocations, Other.",4
Drafting/Design Engineering Technologies/Technicians.,4
Teaching English or French as a Second or Foreign Language.,4
"Computer and Information Sciences and Support Services, Other.",4
Systems Science and Theory.,3
"Natural Resources and Conservation, Other.",3
Cultural Studies/Critical Theory and Analysis.,3
Human Computer Interaction.,3
Medical Illustration and Informatics.,3
Operations Research.,3
Housing and Human Environments.,3
Materials Sciences.,3
"Architecture and Related Services, Other.",3
Polymer/Plastics Engineering.,3
"Crafts/Craft Design, Folk Art and Artisanry.",3
Legal Research and Advanced Professional Studies.,3
Physical Sciences.,3
Biological/Biosystems Engineering.,3
"Agriculture, Agriculture Operations, and Related Sciences, Other.",3
"Classics and Classical Languages, Literatures, and Linguistics.",3
"Communications Technologies/Technicians and Support Services, Other.",3
Curriculum and Instruction.,3
Alternative and Complementary Medicine and Medical Systems.,3
Historic Preservation and Conservation.,2
Classical and Ancient Studies.,2
Agricultural and Food Products Processing.,2
Communications Technology/Technician.,2
"Educational Assessment, Evaluation, and Research.",2
"Specialized Sales, Merchandising and Marketing Operations.",2
Metallurgical Engineering.,2
Marine Sciences.,2
Veterinary Biomedical and Clinical Sciences.,2
Geological/Geophysical Engineering.,2
"Philosophy and Religious Studies, Other.",2
Ocean Engineering.,2
"Intelligence, Command Control and Information Operations.",2
Religious/Sacred Music.,2
Engineering Mechanics.,1
Biochemical Engineering.,1
Energy and Biologically Based Therapies.,1
Textile Sciences and Engineering.,1
Forest Engineering.,1
Archeology.,1
Movement and Mind-Body Therapies and Education.,1
Nursing.,1
"Bilingual, Multilingual, and Multicultural Education.",1
High School/Secondary Diploma Programs.,1
