,P_INSTNM,P_CIPCODE,P_CIPDESC,P_DEBTMEDIAN,P_DEBTPAYMENT10YR,P_DEBTMEAN
44316,CEM College-Bayamon,5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",3250,34,3576
37540,CEM College-San Juan,5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",3250,34,3576
48740,CEM College-Mayaguez,5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",3250,34,3576
39168,CEM College-Humacao,5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",3250,34,3576
32748,The University of Texas Rio Grande Valley,1412,Engineering Physics.,3347,35,3610
3948,University of Southern California,1401,"Engineering, General.",3500,36,3987
37609,Inter American University of Puerto Rico-Barranquitas,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",3750,39,4516
12029,Berea College,5201,"Business/Commerce, General.",3775,39,4857
37468,American University of Puerto Rico,4301,Criminal Justice and Corrections.,3750,39,4887
37465,American University of Puerto Rico,4301,Criminal Justice and Corrections.,3750,39,4887
37700,University of Puerto Rico-Cayey,4299,"Psychology, Other.",4250,44,4822
37611,Inter American University of Puerto Rico-Ponce,2601,"Biology, General.",4300,45,6156
37472,Atlantic University College,1108,Computer Software and Media Applications.,4500,47,6218
37698,University of Puerto Rico-Carolina,4301,Criminal Justice and Corrections.,4500,47,6542
37616,Inter American University of Puerto Rico-Ponce,5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",4500,47,6784
37473,Atlantic University College,5004,Design and Applied Arts.,4500,47,5612
37691,University of Puerto Rico-Arecibo,4228,"Clinical, Counseling and Applied Psychology.",4500,47,5475
37697,University of Puerto Rico-Carolina,4228,"Clinical, Counseling and Applied Psychology.",4500,47,5403
37696,University of Puerto Rico-Bayamon,5203,Accounting and Related Services.,4500,47,5998
37694,University of Puerto Rico-Bayamon,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",4700,49,6220
37690,University of Puerto Rico-Arecibo,2605,Microbiological Sciences and Immunology.,4800,50,5395
37695,University of Puerto Rico-Bayamon,2699,"Biological and Biomedical Sciences, Other.",5000,52,6342
23893,Duke University,4005,Chemistry.,5000,52,8699
37615,Inter American University of Puerto Rico-Ponce,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",5100,53,5931
37613,Inter American University of Puerto Rico-Ponce,4301,Criminal Justice and Corrections.,5200,54,6471
37608,Inter American University of Puerto Rico-Barranquitas,4301,Criminal Justice and Corrections.,5200,54,5803
37689,University of Puerto Rico-Arecibo,1002,Audiovisual Communications Technologies/Technicians.,5250,54,6001
37546,Universidad Ana G. Mendez-Cupey Campus,1313,"Teacher Education and Professional Development, Specific Subject Areas.",5370,56,8634
37749,University of Puerto Rico-Rio Piedras,4005,Chemistry.,5409,56,6145
37692,University of Puerto Rico-Arecibo,5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",5500,57,6336
6882,Pensacola State College,5202,"Business Administration, Management and Operations.",5500,57,6727
37736,University of Puerto Rico-Ponce,2699,"Biological and Biomedical Sciences, Other.",5500,57,6560
37735,University of Puerto Rico-Ponce,1312,"Teacher Education and Professional Development, Specific Levels and Methods.",5500,57,8423
