P_CIPDESC,P_DEBTPAYMENT10YR
Accounting and Related Services.,281.854797979798
"Aerospace, Aeronautical and Astronautical Engineering.",245.37037037037038
Agricultural Business and Management.,196.06896551724137
Agricultural Engineering.,234.5625
Agricultural Mechanization.,211.0
Agricultural Production Operations.,244.25
Agricultural Public Services.,189.75
Agricultural and Domestic Animal Services.,245.42857142857142
Agricultural and Food Products Processing.,191.5
"Agriculture, Agriculture Operations, and Related Sciences, Other.",229.66666666666666
"Agriculture, General.",213.3448275862069
Air Transportation.,245.97297297297297
"Allied Health Diagnostic, Intervention, and Treatment Professions.",250.39195979899498
Allied Health and Medical Assisting Services.,231.125
Alternative and Complementary Medicine and Medical Systems.,377.0
American Sign Language.,231.11111111111111
Animal Sciences.,219.55405405405406
Anthropology.,235.92265193370164
Apparel and Textiles.,242.1315789473684
Applied Horticulture and Horticultural Business Services.,220.85714285714286
Applied Mathematics.,214.11111111111111
Archeology.,254.0
Architectural Engineering Technologies/Technicians.,250.16666666666666
Architectural Engineering.,265.7
Architectural Sciences and Technology.,266.57142857142856
"Architecture and Related Services, Other.",257.3333333333333
Architecture.,283.04651162790697
Area Studies.,216.8846153846154
"Arts, Entertainment,and Media Management.",263.4375
Astronomy and Astrophysics.,280.0
Atmospheric Sciences and Meteorology.,250.63636363636363
Audiovisual Communications Technologies/Technicians.,332.87179487179486
Behavioral Sciences.,383.975
Bible/Biblical Studies.,256.2307692307692
"Bilingual, Multilingual, and Multicultural Education.",198.0
Biochemical Engineering.,217.0
"Biochemistry, Biophysics and Molecular Biology.",227.431654676259
Bioethics/Medical Ethics.,207.0
"Biological and Biomedical Sciences, Other.",200.0625
Biological and Physical Sciences.,248.75757575757575
Biological/Biosystems Engineering.,255.0
"Biology, General.",243.46349557522123
"Biomathematics, Bioinformatics, and Computational Biology.",182.0
Biomedical/Medical Engineering.,229.0
Biopsychology.,175.0
Biotechnology.,199.5
Botany/Plant Biology.,242.0
"Building/Construction Finishing, Management, and Inspection.",251.6
"Business Administration, Management and Operations.",300.3165618448637
Business Operations Support and Assistant Services.,192.375
"Business, Management, Marketing, and Related Support Services, Other.",262.3243243243243
"Business/Commerce, General.",286.8888888888889
Business/Corporate Communications.,242.3125
Business/Managerial Economics.,225.75
Cell/Cellular Biology and Anatomical Sciences.,200.28125
Chemical Engineering.,237.0808823529412
Chemistry.,231.1255605381166
"City/Urban, Community and Regional Planning.",214.07692307692307
Civil Engineering Technologies/Technicians.,269.22222222222223
Civil Engineering.,242.07142857142858
Classical and Ancient Studies.,244.0
"Classics and Classical Languages, Literatures, and Linguistics.",253.0
"Clinical, Counseling and Applied Psychology.",252.35849056603774
Clinical/Medical Laboratory Science/Research and Allied Professions.,231.33333333333334
Cognitive Science.,183.91666666666666
Communication Disorders Sciences and Services.,217.0625
Communication and Media Studies.,254.4688524590164
"Communication, Journalism, and Related Programs, Other.",244.6086956521739
"Communications Technologies/Technicians and Support Services, Other.",260.6666666666667
Communications Technology/Technician.,168.5
Community Organization and Advocacy.,254.05263157894737
Computer Engineering Technologies/Technicians.,381.8695652173913
Computer Engineering.,270.12820512820514
Computer Programming.,369.7551020408163
Computer Science.,235.68867924528303
Computer Software and Media Applications.,387.84
Computer Systems Analysis.,427.3076923076923
Computer Systems Networking and Telecommunications.,406.2741935483871
"Computer and Information Sciences and Support Services, Other.",302.75
"Computer and Information Sciences, General.",280.65829145728645
Computer/Information Technology Administration and Management.,444.09090909090907
Construction Engineering Technologies.,251.21875
Construction Engineering.,284.1666666666667
Construction Management.,328.8125
Cosmetology and Related Personal Grooming Services.,153.0
