,Undergraduate Major,Annual Payment First 10YR,Starting Median Salary,Average Percent Of Salary,Major Type,Available Investments,Retirement Savings In 10 Years,1,2,3,4,5,6,7,8,9,10
8,Chemical Engineering,2844.970588235294,63200.0,4.50153574087863,Engineering and Technology Majors,6635.029411764705,104736.47732844204,6635.029411764705,13920.291705882351,21919.509704823526,30702.65106766094,40346.54028405642,50935.530643658654,62562.242058501906,75328.37119199979,89345.58098058046,104736.47732844204
30,Industrial Engineering,2864.3389830508477,57700.0,4.964192344975473,Engineering and Technology Majors,5790.661016949152,91407.79922437153,5790.661016949152,12148.806813559322,19130.05089823729,26795.456903213693,35212.07269667779,44453.51683790136,54600.62250496485,65742.14452740055,77975.53570803495,91407.79922437153
38,Mechanical Engineering,2883.8723404255315,57900.0,4.980781244258258,Engineering and Technology Majors,5801.127659574468,91573.01918196325,5801.127659574468,12170.765829787235,19164.628540680853,26843.889797242045,35275.718656946236,44533.86674490144,54699.31334547625,65860.97371290739,78116.47679634679,91573.01918196325
13,Computer Science,2828.264150943396,55900.0,5.059506531204644,Engineering and Technology Majors,5556.735849056604,87715.20096699419,5556.735849056604,11658.031811320754,18357.254777886792,25713.0015951763,33789.61160056018,42657.729386471685,52394.922715402514,63086.360990568566,74825.56021670089,87715.20096699419
1,Aerospace Engineering,2944.4444444444443,57700.0,5.103023300596957,Engineering and Technology Majors,5710.555555555556,90143.30387394276,5710.555555555556,11980.745555555557,18865.414175555557,26424.780320315556,34724.96434726204,43838.56640884927,53845.301472472056,64832.69657232987,76896.85639197376,90143.30387394276
12,Computer Engineering,3241.538461538462,61400.0,5.279378601854172,Engineering and Technology Majors,5968.461538461538,94214.4484695652,5968.461538461538,12521.832307692308,19717.43341230769,27618.203425175383,36293.24889930411,45818.448829897454,56277.118353688944,67760.737490812,80369.75130337311,94214.4484695652
10,Civil Engineering,2904.857142857143,53900.0,5.389345348529022,Engineering and Technology Majors,5180.142857142857,81770.53653345193,5180.142857142857,10867.939714285714,17113.14066342857,23970.371305587425,31499.610550677848,39766.71524178713,48843.99619262513,58810.85067664525,69754.45690009934,81770.53653345193
43,Physics,2715.1034482758623,50300.0,5.397819976691575,Science and Math-Related Majors,4829.896551724138,76241.76462449643,4829.896551724138,10133.122965517241,15956.065567862068,22349.65654523669,29369.81943839402,37077.958295080774,45541.49475972283,54834.457797899806,65038.131213818124,76241.76462449643
17,Economics,2767.370919881306,50100.0,5.52369445086089,Business-Related Majors,4747.629080118693,74943.14111585094,4747.629080118693,9960.525810089019,15684.286419596436,21968.97556883558,28869.564254700163,36446.41063177947,44765.78795381255,53900.46425340487,63930.338830357236,74943.14111585094
35,Management Information Systems (MIS),2858.2941176470586,49200.0,5.8095408895265415,Business-Related Majors,4521.705882352941,71376.85701787763,4521.705882352941,9486.53894117647,14937.925639764704,20923.548234814585,27495.761844179357,34712.05238726188,42635.53940356649,51335.52814746895,60888.11578827385,71376.85701787763
37,Math,2666.2677165354335,45400.0,5.872836380033995,Science and Math-Related Majors,4143.7322834645665,65410.39917512439,4143.7322834645665,8693.550330708662,13689.250546582676,19174.529383612346,25197.365546670924,31810.439653709243,39071.595023237314,47044.34361897914,55798.42157710366,65410.39917512439
2,Agriculture,2560.137931034483,42600.0,6.009713453132589,Science and Math-Related Majors,3829.862068965517,60455.837776095155,3829.862068965517,8035.050620689655,12652.34765048276,17722.139789195586,23288.77155750227,29400.93323910301,36112.08676550062,43480.9333374852,51571.926873524266,60455.837776095155
22,Finance,2951.6825396825398,47900.0,6.162176492030355,Business-Related Majors,4233.31746031746,66824.53546030507,4233.31746031746,8881.500031746033,13985.204495174603,19589.071996019175,25742.11851194651,32498.16358643473,39916.301078222794,48061.41604420609,57004.75227685575,66824.53546030507
14,Construction,3410.0,53700.0,6.350093109869646,Business-Related Majors,4645.0,73323.10182800225,4645.0,9745.21,15345.24058,21494.07415684,28245.49342421032,35658.55177978293,43798.08985420166,52735.30265991342,62548.36232058493,73323.10182800225
9,Chemistry,2773.506726457399,42600.0,6.510579170087791,Science and Math-Related Majors,3616.493273542601,57087.72972147455,3616.493273542601,7587.402887892376,11947.46164444843,16734.806159146978,21991.31043628598,27762.952132584607,34100.2147151205,41058.5290307449,48698.7581493005,57087.72972147455
33,International Relations,2710.619469026549,40900.0,6.627431464612589,"Literature, Language, and Social Science Majors",3424.3805309734516,54055.15659211946,3424.3805309734516,7184.350353982301,11312.797219646018,15845.831878144778,20823.10393317642,26288.14864960116,32288.76774823553,38877.447518536064,46111.817906326054,54055.15659211946
42,Philosophy,2669.2857142857147,39900.0,6.689939133548157,"Literature, Language, and Social Science Majors",3315.714285714285,52339.8183431626,3315.714285714285,6956.368571428569,10953.806977142855,15342.994346617139,20162.322078299905,25453.943927687582,31264.144718315252,37643.74518642443,44648.5465004083,52339.8183431626
41,Nutrition,2706.909090909091,39900.0,6.7842333105491,Science and Math-Related Majors,3278.090909090909,51745.91895128552,3278.090909090909,6877.434727272727,10829.514239636363,15168.897544211635,19933.540412635284,25165.11828216445,30909.390782907474,37216.60198872332,44141.91989270912,51745.91895128552
24,Geography,2830.4285714285716,41200.0,6.869972260748961,"Literature, Language, and Social Science Majors",3349.571428571428,52874.26629436164,3349.571428571428,7027.400857142856,11065.657569714283,15499.66344011771,20368.201885820676,25713.85709920253,31583.386523495807,38028.12983136982,45104.457983415494,52874.26629436164
44,Political Science,2827.3502935420747,40800.0,6.929780131230576,"Literature, Language, and Social Science Majors",3292.6497064579253,51975.73513682588,3292.6497064579253,6907.979084148727,10877.610740853228,15236.26629991477,20022.070103764345,25276.882680391172,31046.666889527434,37381.88995115905,44337.96487283056,51975.73513682588
23,Forestry,2723.3333333333335,39100.0,6.965046888320546,Environment-Related Majors,3141.666666666666,49592.41009895379,3141.666666666666,6591.216666666665,10378.822566666666,14537.613844866666,19103.966668330264,24117.822068493297,29623.035297872302,35667.75942373045,42304.8665139227,49592.41009895379
31,Information Technology (IT),3594.8727272727274,49100.0,7.32153304943529,Business-Related Majors,3770.1272727272726,59512.901167429554,3770.1272727272726,7909.727018181818,12455.007538690908,17445.72555020989,22925.53392685773,28942.363524417062,35548.84242253721,42802.75625267313,50767.55363816237,59512.901167429554
0,Accounting,3382.257575757576,46000.0,7.352733860342557,Business-Related Majors,3517.742424242424,55528.90979061589,3517.742424242424,7380.223606060606,11621.22794369697,16277.850706421697,21390.82249989345,27004.865529125433,33169.084775222145,39937.39750743634,47369.00488740753,55528.90979061589
28,History,2887.8709677419356,39200.0,7.367017774851877,"Literature, Language, and Social Science Majors",2992.1290322580644,47231.901337950476,2992.1290322580644,6277.48670967742,9884.80943948387,13845.649796811354,18194.65250915693,22969.857487312376,28213.032553327055,33970.038775811176,40291.23160809874,47231.901337950476
25,Geology,3216.0,43500.0,7.393103448275862,Science and Math-Related Majors,3309.0,52233.830774781374,3309.0,6942.282,10931.625636,15311.924948328,20121.493593264146,25402.39996540403,31200.835162013627,37567.517007890965,44558.13367466428,52233.830774781374
36,Marketing,3026.8684210526317,40800.0,7.418795149638803,Business-Related Majors,3093.1315789473683,48826.26517342675,3093.1315789473683,6489.390052631579,10218.481856736842,14313.02465764442,18808.83265304094,23745.22983198632,29165.393934468346,35116.73411899361,41651.305641602354,48826.26517342675
29,Hospitality & Tourism,2824.6511627906975,37800.0,7.472622123784914,"Literature, Language, and Social Science Majors",2845.3488372093025,44914.91981203134,2845.3488372093025,5969.541860465117,9399.9058,13166.445405609302,17302.105892568317,21843.061107249316,26829.02993296905,32303.62370360932,38314.72766377234,44914.91981203134
6,Biology,2921.5619469026547,38800.0,7.529798832223336,Environment-Related Majors,2898.438053097346,45752.95339276928,2898.438053097346,6080.923035398231,9575.291545964603,13412.10817056648,17624.932824379342,22250.614294265866,27329.61254820127,32906.35263102234,39029.61324195987,45752.95339276928
20,English,2878.1282495667247,38000.0,7.574021709386118,"Literature, Language, and Social Science Majors",2821.8717504332753,44544.325016702256,2821.8717504332753,5920.286932409012,9322.34680221837,13057.808539269045,17159.345526550685,21662.833138585927,26607.662536600623,32037.08521562076,37998.591317184866,44544.325016702256
