,P_INSTNM,P_CIPDESC,P_DEBTMEDIAN,P_DEBTPAYMENT10YR,P_DEBTMEAN
37464,American University of Puerto Rico,Curriculum and Instruction.,4371,51,7082
37467,American University of Puerto Rico,Curriculum and Instruction.,4371,51,7082
19036,Doane University,Curriculum and Instruction.,6703,78,8580
43243,Doane University-Graduate and Professional Studies,Curriculum and Instruction.,6703,78,8580
46558,Relay Graduate School of Education,"Teacher Education and Professional Development, Specific Levels and Methods.",6845,80,8798
19370,Wayne State College,Curriculum and Instruction.,8144,95,10163
37709,University of Puerto Rico-Mayaguez,Civil Engineering.,9000,105,10511
34167,Utah State University,Civil Engineering.,9000,105,10522
11339,Morningside College,"Education, Other.",6507,76,10538
31399,Johnson University,Theological and Ministerial Studies.,12187,142,10902
41007,Western Governors University,Accounting and Related Services.,9602,112,11433
30619,Coker University,"Teacher Education and Professional Development, Specific Levels and Methods.",13018,152,11544
28318,Gannon University,Curriculum and Instruction.,12324,144,11614
20951,Alfred University,"Teacher Education and Professional Development, Specific Subject Areas.",10000,117,11635
24927,Valley City State University,"Teacher Education and Professional Development, Specific Subject Areas.",10373,121,11882
34064,Brigham Young University-Provo,Management Information Systems and Services.,11625,135,12259
9720,University of St Francis,Curriculum and Instruction.,11203,131,12769
19054,University of Nebraska at Kearney,Curriculum and Instruction.,11900,139,12956
40998,Western Governors University,"Teacher Education and Professional Development, Specific Subject Areas.",10111,118,13081
30981,Augustana University,"Education, General.",12591,147,13288
12068,University of the Cumberlands,Curriculum and Instruction.,11241,131,13360
31128,University of Sioux Falls,"Teacher Education and Professional Development, Specific Subject Areas.",12862,150,13428
12075,University of the Cumberlands,"Teacher Education and Professional Development, Specific Subject Areas.",10492,122,13470
37474,Atlantic University College,Design and Applied Arts.,13742,160,13503
33691,The University of Texas of the Permian Basin,Special Education and Teaching.,12637,147,13529
9196,Illinois State University,Accounting and Related Services.,13986,163,13545
34198,Utah State University,Accounting and Related Services.,12000,140,13618
5364,Yale University,Drama/Theatre Arts and Stagecraft.,12089,141,13790
33065,Stephen F Austin State University,Accounting and Related Services.,13567,158,13858
28,University of Alabama at Birmingham,Teaching English or French as a Second or Foreign Language.,10250,119,13951
20860,New Mexico State University-Main Campus,Accounting and Related Services.,11932,139,14011
21377,College of Staten Island CUNY,Special Education and Teaching.,12408,145,14099
5366,Yale University,Music.,14099,164,14124
14379,Fitchburg State University,Special Education and Teaching.,13601,158,14245
37475,Universidad Central de Bayamon,Special Education and Teaching.,15075,176,14281
41003,Western Governors University,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",12634,147,14329
18486,Truman State University,Accounting and Related Services.,13500,157,14366
11336,Morningside College,Special Education and Teaching.,11085,129,14407
19332,Peru State College,Curriculum and Instruction.,13500,157,14741
9583,Olivet Nazarene University,"Teacher Education and Professional Development, Specific Subject Areas.",14171,165,14746
18886,Montana State University,Accounting and Related Services.,14370,167,14746
33690,The University of Texas of the Permian Basin,Educational Administration and Supervision.,14612,170,14776
40989,Western Governors University,Curriculum and Instruction.,11543,135,14970
34967,University of Mary Washington,"Teacher Education and Professional Development, Specific Levels and Methods.",17702,206,15021
37597,Inter American University of Puerto Rico-Arecibo,"Teacher Education and Professional Development, Specific Subject Areas.",15600,182,15059
34127,Southern Utah University,Accounting and Related Services.,12732,148,15085
19037,Doane University,Educational Administration and Supervision.,13434,157,15089
43244,Doane University-Graduate and Professional Studies,Educational Administration and Supervision.,13434,157,15089
40992,Western Governors University,Educational/Instructional Media Design.,11543,135,15163
31319,Lipscomb University,Curriculum and Instruction.,10250,119,15178
37755,University of Puerto Rico-Rio Piedras,"Business/Commerce, General.",13000,151,15201
23439,SUNY College at Old Westbury,Accounting and Related Services.,13000,151,15202
40985,Western Governors University,Computer/Information Technology Administration and Management.,12234,143,15227
37654,National University College,"Business Administration, Management and Operations.",14116,164,15282
46387,National University College-Caguas,"Business Administration, Management and Operations.",14116,164,15282
42492,National University College-Rio Grande,"Teacher Education and Professional Development, Specific Levels and Methods.",13455,157,15319
37644,National University College,"Teacher Education and Professional Development, Specific Levels and Methods.",13455,157,15319
37661,National University College-Arecibo,"Teacher Education and Professional Development, Specific Levels and Methods.",13455,157,15319
30173,Wilkes University,"Teacher Education and Professional Development, Specific Levels and Methods.",13601,158,15323
23727,Appalachian State University,"Teacher Education and Professional Development, Specific Subject Areas.",12980,151,15429
32142,Texas A&M University-Texarkana,"Business Administration, Management and Operations.",11989,140,15438
34061,Brigham Young University-Provo,Accounting and Related Services.,13000,151,15538
12083,University of the Cumberlands,"Business Administration, Management and Operations.",12039,140,15640
40999,Western Governors University,Teaching English or French as a Second or Foreign Language.,10752,125,15717
11558,Baker University,Curriculum and Instruction.,13991,163,15749
18808,William Woods University,"Business Administration, Management and Operations.",16630,194,15903
23097,University at Buffalo,Accounting and Related Services.,20500,239,15920
27929,California University of Pennsylvania,"Allied Health Diagnostic, Intervention, and Treatment Professions.",18000,210,15920
25055,Ashland University,Curriculum and Instruction.,12000,140,15939
40988,Western Governors University,"Education, General.",13178,154,16069
1267,Arkansas State University-Main Campus,Curriculum and Instruction.,14000,163,16101
40879,Dewey University-Hato Rey,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",13896,162,16135
42402,Dewey University-Hato Rey,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",13896,162,16135
19307,University of Nebraska-Lincoln,Accounting and Related Services.,16298,190,16137
11791,Newman University,"Education, Other.",13569,158,16223
18803,William Woods University,Educational/Instructional Media Design.,17840,208,16266
25167,Bowling Green State University-Main Campus,Accounting and Related Services.,20137,235,16334
13980,American International College,"Teacher Education and Professional Development, Specific Subject Areas.",14982,175,16395
34666,Emory & Henry College,"Teacher Education and Professional Development, Specific Levels and Methods.",16750,195,16398
13263,University of New England,"Teacher Education and Professional Development, Specific Levels and Methods.",17019,198,16398
16191,Oakland University,Accounting and Related Services.,16410,191,16412
17101,Minnesota State University Moorhead,Curriculum and Instruction.,13985,163,16448
18800,William Woods University,Curriculum and Instruction.,18335,214,16580
12295,University of Louisville,Mechanical Engineering.,17638,206,16792
37739,University of Puerto Rico-Rio Piedras,Architecture.,13500,157,16832
24884,North Dakota State University-Main Campus,Architecture.,18924,221,16859
9580,Olivet Nazarene University,Curriculum and Instruction.,17332,202,16861
24175,Methodist University,"Business Administration, Management and Operations.",17699,206,16881
32914,Sam Houston State University,Accounting and Related Services.,15637,182,16889
17969,University of Central Missouri,"Teacher Education and Professional Development, Specific Subject Areas.",13100,153,16955
18472,Truman State University,"Teacher Education and Professional Development, Specific Subject Areas.",15280,178,16971
40991,Western Governors University,Educational Administration and Supervision.,13215,154,17014
21507,CUNY Lehman College,Accounting and Related Services.,16000,186,17017
37732,University of Puerto Rico-Medical Sciences,Public Health.,15000,175,17100
1270,Arkansas State University-Main Campus,Special Education and Teaching.,14933,174,17137
30633,Columbia College,"Education, Other.",17475,204,17217
37476,Universidad Central de Bayamon,Student Counseling and Personnel Services.,17000,198,17248
25058,Ashland University,Special Education and Teaching.,17000,198,17249
49265,Inter American University of Puerto Rico - San German Campus,Social Work.,15250,178,17394
30449,Salve Regina University,"Business Administration, Management and Operations.",17420,203,17410
37544,Universidad Ana G. Mendez-Cupey Campus,Special Education and Teaching.,16785,196,17418
37826,Universidad Ana G. Mendez-Gurabo Campus,Curriculum and Instruction.,16979,198,17481
8729,Concordia University-Chicago,Curriculum and Instruction.,15217,177,17508
21660,Fordham University,"Teacher Education and Professional Development, Specific Subject Areas.",10000,117,17555
